id;codigo;fecha_reserva;estado
1;malfunction fast folklore;2026-09-19T23:55:09;mid
2;although oof concerning;2026-09-19T06:19:50;ew where brr
3;punctually really ouch;2026-09-19T23:38:56;tributary
4;as adrenalin;2026-09-19T14:43:08;yum
5;longingly likewise reproachfully;2026-09-19T14:26:54;programme
6;between object though;2026-09-19T08:11:57;spectate axe
7;government wholly;2026-09-19T05:01:57;brr scenario outfox
8;cleave colorful blah;2026-09-19T04:41:15;embody bemuse
9;below zowie deliberately;2026-09-19T14:23:28;around softly
10;innovate as until;2026-09-19T19:01:11;really
